Country,Player Name,Gold,Silver,Bronze,Total Medals
GER,VARFOLOMEEV Darja,1,0,0,1
GER,OGUNLEYE Yemisi,1,0,0,1
GER,WANDRES Frederic,1,0,0,1
GER,ZEIDLER Oliver,1,0,0,1
GER,REICHERT Marie,1,0,0,1
GER,TERTSCH Lisa,1,0,0,1
GER,RENDSCHMIDT Max,1,0,0,1
GUA,RUANO OLIVA Adriana,1,0,0,1
HUN,KOS Hubert,1,0,0,1
HUN,ANDRASFI Tibor,1,0,0,1
HUN,KOCH Mate Tamas,1,0,0,1
HKG,CHEUNG Ka Long,1,0,0,1
HUN,GULYAS Michelle,1,0,0,1
HUN,MARTON Viviana,1,0,0,1
HKG,KONG Man Wai Vivian,1,0,0,1
INA,JUNIANSYAH Rizki,1,0,0,1
INA,LEONARDO Veddriq,1,0,0,1
HUN,SIKLOSI Gergely,1,0,0,1
IRI,ESMAEILI LEIVESI Saeid,1,0,0,1
IRI,SALIMI Arian,1,0,0,1
HUN,NAGY David,1,0,0,1
HUN,RASOVSZKY Kristof,1,0,0,1
ITA,BACOSI Diana,1,0,0,1
ITA,ANTROPOVA Ekaterina,1,0,0,1
IRL,Mc CARTHY Fintan,1,0,0,1
IRL,O DONOVAN Paul,1,0,0,1
IRI,SARAVI Mohammadhadi,1,0,0,1
IRL,HARRINGTON Kellie,1,0,0,1
ISR,REUVENY Tom,1,0,0,1
IRL,Mc CLENAGHAN Rhys,1,0,0,1
ITA,DANESI Anna,1,0,0,1
ITA,BELLANDI Alice,1,0,0,1
ITA,CAMBI Carlotta,1,0,0,1
ITA,BANTI Caterina Marianna,1,0,0,1
ITA,CONSONNI Chiara,1,0,0,1
ITA,de GENNARO Giovanni,1,0,0,1
ITA,BOSETTI Caterina Chiara,1,0,0,1
ITA,GIOVANNINI Gaia,1,0,0,1
ITA,FAHR Sarah Luisa,1,0,0,1
ITA,de GENNARO Monica,1,0,0,1
ITA,ERRANI Sara,1,0,0,1
ITA,FIAMINGO Rossella,1,0,0,1
ITA,EGONU Paola Ogechi,1,0,0,1
ITA,LUBIAN Marina,1,0,0,1
ITA,GUAZZINI Vittoria,1,0,0,1
ITA,MARTINENGHI Nicolo,1,0,0,1
ITA,OMORUYI Oghosasere Loveth,1,0,0,1
ITA,RIZZI Giulia,1,0,0,1
ITA,MAGGETTI Marta,1,0,0,1
ITA,PAOLINI Jasmine,1,0,0,1
ITA,NAVARRIA Mara,1,0,0,1
ITA,ORRO Alessia,1,0,0,1
ITA,TITA Ruggero,1,0,0,1
JPN,AMI,1,0,0,1
ITA,ROSSETTI Gabriele,1,0,0,1
ITA,SANTUCCIO Alberta,1,0,0,1
JPN,FUJINAMI Akari,1,0,0,1
ITA,SPIRITO Ilaria,1,0,0,1
JAM,STONA Roje,1,0,0,1
ITA,SYLLA Myriam Fatime,1,0,0,1
JPN,KAYA Kazuma,1,0,0,1
JPN,FUMITA Kenichiro,1,0,0,1
JPN,HASHIMOTO Daiki,1,0,0,1
JPN,KAGAMI Yuka,1,0,0,1
JPN,HORIGOME Yuto,1,0,0,1
JPN,KITAGUCHI Haruka,1,0,0,1
JPN,IIMURA Kazuki,1,0,0,1
JPN,HIGUCHI Rei,1,0,0,1
JPN,SHIKINE Takahiro,1,0,0,1
JPN,MOTOKI Sakura,1,0,0,1
JPN,SAKURAI Tsugumi,1,0,0,1
JPN,KUSAKA Nao,1,0,0,1
JPN,MATSUYAMA Kyosuke,1,0,0,1
JPN,KIYOOKA Kotaro,1,0,0,1
JPN,NAGANO Yudai,1,0,0,1
JPN,YOSHIZAWA Coco,1,0,0,1
KOR,BAN Hyojin,1,0,0,1
JPN,TANIGAWA Wataru,1,0,0,1
KOR,DO Gyeongdong,1,0,0,1
KAZ,SMETOV Yeldos,1,0,0,1
JPN,SUGINO Takaaki,1,0,0,1
KOR,AN Se Young,1,0,0,1
KEN,WANYONYI Emmanuel,1,0,0,1
KOR,KIM Je Deok,1,0,0,1
KOR,PARK Sangwon,1,0,0,1
KOR,KIM Yujin,1,0,0,1
KOR,PARK Taejoon,1,0,0,1
KOR,GU Bongil,1,0,0,1
KOR,OH Ye Jin,1,0,0,1
KOR,JEON Hunyoung,1,0,0,1
NED,BLAAK Pirmin,1,0,0,1
NED,BLOK Justen,1,0,0,1
NED,BIJEN Koen,1,0,0,1
NED,BALK Lars,1,0,0,1
KOR,YANG Jiin,1,0,0,1
NED,ALBERS Felice,1,0,0,1
MAR,EL BAKKALI Soufiane,1,0,0,1
NED,BOONSTRA Benthe,1,0,0,1
NED,BOUWMEESTER Marit,1,0,0,1
NED,CLEVERING Ymkje,1,0,0,1
NED,de JONG Worthy,1,0,0,1
NED,de GEUS Jonas,1,0,0,1
NED,BURG Joosje,1,0,0,1
NED,CROON Jorrit Jan Willem,1,0,0,1
NED,BRINKMAN Thierry,1,0,0,1
NED,DRIESSEN Jan,1,0,0,1
NED,DRENTH Hermijntje,1,0,0,1
NED,DICKE Pien,1,0,0,1
NED,de WAARD Xan,1,0,0,1
NED,de MOL Joep,1,0,0,1
NED,DUETZ Annette,1,0,0,1
NED,FLORIJN Finn,1,0,0,1
NED,de VILDER Derck,1,0,0,1
NED,HOEDEMAKERS Tjep,1,0,0,1
NED,JOCHEMS Marleen,1,0,0,1
NED,JANSSEN Jip,1,0,0,1
NED,KLEIN IKKINK Isaya,1,0,0,1
NED,HOOGLAND Jeffrey,1,0,0,1
NED,FLORIJN Karolien,1,0,0,1
NED,JANSEN Yibbi,1,0,0,1
NED,FOKKE Luna Noa,1,0,0,1
NED,MIDDENDORP Floris,1,0,0,1
NED,KOOLEN Sanne,1,0,0,1
NED,MOES Freeke,1,0,0,1
NED,METSEMAKERS Koen,1,0,0,1
NED,MATLA Frederique,1,0,0,1
NED,NUNNINK Laura,1,0,0,1
NED,MEESTER Veronique,1,0,0,1
NED,OFFEREINS Tinka,1,0,0,1
NED,OMALLA Eugene,1,0,0,1
NED,REYENGA Tijmen,1,0,0,1
NED,POST Lisa,1,0,0,1
NED,SANDERS Pien,1,0,0,1
NED,TELGENKAMP Duco,1,0,0,1
NED,SLAGTER Arvin,1,0,0,1
NED,OLDENBURG Marloes,1,0,0,1
NED,van den BERG Roy,1,0,0,1
